Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,1262,213,875,1827,39361,80,55186,0.000%,3.20765,34.33,0.41
Login Credentials,2500,1937,1309,2791,3449,16648,212,54107,1.600%,3.20852,119.78,0.98
Navigate UI,2500,927,562,1299,1682,7082,119,44127,1.160%,3.20944,59.69,1.39
RepGET,2500,9573,8833,15484,18005,34081,597,53094,2.120%,3.20563,14014.00,1.96
TOTAL,10000,3425,955,10398,13988,32771,80,55186,1.220%,12.80707,14210.47,4.73
