Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,572,195,972,1749,9800,82,14065,0.000%,4.59027,50.07,0.59
Login Credentials,750,2096,1535,4369,5320,11065,216,13545,0.000%,4.59883,174.41,1.41
Navigate UI,750,898,632,1793,2503,4739,115,8919,0.000%,4.60459,86.57,2.00
RepGET,750,10500,10135,19424,20930,23418,1131,24926,0.000%,4.57655,20440.34,2.80
TOTAL,3000,3517,1032,12584,16564,21598,82,24926,0.000%,18.19207,20620.51,6.73
