Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,153,131,260,303,371,78,1191,0.000%,2.64773,28.88,0.34
Login Credentials,2500,456,360,812,1085,1603,79,1977,0.120%,2.64802,100.31,0.81
Navigate UI,2500,226,182,390,495,697,105,1471,0.080%,2.64822,49.75,1.15
Accom Rep GET,2500,16935,17139,21854,23290,26721,164,30464,0.080%,2.64424,42.39,1.30
TOTAL,10000,4443,287,18015,20114,23923,78,30464,0.070%,10.57049,220.93,3.59
