Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,169,142,272,324,496,94,746,0.000%,18.31234,199.75,2.34
Login Credentials,750,730,590,1334,1702,2442,183,3181,0.000%,18.41395,698.34,5.63
Navigate UI,750,487,347,986,1269,1780,121,3242,0.000%,18.46108,347.09,8.02
AppopintRepGET,750,1744,1388,3713,4252,5172,228,6015,0.000%,18.46517,1583.65,9.27
TOTAL,3000,783,439,1994,2885,4518,94,6015,0.000%,72.28219,2771.97,24.76
